Time,"Time Code","Country Name","Country Code","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP at market prices (current US$) [NY.GDP.MKTP.CD]","GDP per capita (current US$) [NY.GDP.PCAP.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS]","Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GINI index (World Bank estimate) [SI.POV.GINI]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Internet users (per 100 people) [IT.NET.USER.P2]","Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Adult literacy rate, population 15+ years, both sexes (%) [SE.ADT.LITR.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Population, total [SP.POP.TOTL]"
1966,"YR1966","Finland","FIN","2.37282301528174","9208524504.87684","2010.21345619725","1970","18.6973418368438","","","","3.93616025462521","4.7238436262715","","20.6314224815535","69.4770731707317","","","","","6.44405024461516","","4580869"
1966,"YR1966","France","FRA","5.21400805193714","110597467198.645","2189.67088787159","2210","13.2884135319226","","","","2.57072062772335","2.89358588669344","","13.2487383966344","70.9609756097561","","","","8.73655364297755","6.8747650826292","","50508717"
1966,"YR1966","French Polynesia","PYF","9.57657823321398","215659455.017302","2229.49917313452","","","","","","","11.4861598950125","","","58.7461219512195","","","","","1.25101829835625","","96730"
1966,"YR1966","Gabon","GAB","4.50800457013843","245849781.7159","453.127535131284","420","39.7351059164083","","","","3.64411138096836","4.13442612213744","","39.5695264187958","43.1793658536585","","","","","0.702902156804199","","542562"
1966,"YR1966","Gambia, The","GMB","","44212353.6988296","108.315294890097","","36.1706143128562","","","","0.239081925328394","","","43.5773274224193","34.732243902439","","","","","0.0808536388179783","","408182"
1966,"YR1966","Georgia","GEO","7.53563129431613","","","","","","","","","0.145697194600316","","","65.818756097561","","","","","","","3966700"
1966,"YR1966","Germany","DEU","","","","","","","","","","","","","70.2709268292683","","","","","","","76600311"
1966,"YR1966","Ghana","GHA","-4.25829037246163","2126300672.22965","269.459235572619","250","14.6245059288538","","","","13.2378854626541","8.1525149816043","","19.631093544137","48.1409756097561","","","","47.9212253829322","0.182629889879498","","7890992"
1966,"YR1966","Greece","GRC","6.09884653317354","8455611129.27936","981.652394470053","980","10.4989522772474","","","","5.00637994455486","4.85464073040087","","18.1449190475773","69.8374634146341","","","","","2.16520985120015","","8613651"
1966,"YR1966","Greenland","GRL","","","","","","","","","","","","","","","","","","9.59758024691358","","40500"
1966,"YR1966","Grenada","GRD","","","","","","","","","","","","","62.2229268292683","","","","","0.309197074137313","","94878"
1966,"YR1966","Guam","GUM","","","","","","","","","","","","","64.1190243902439","","","","","","","76611"
1966,"YR1966","Guatemala","GTM","5.51210398919251","1390700000","286.21822312961","300","18.9401021068527","","","","0.684261974464836","-1.0028592590954","","19.134248939383","49.1610975609756","","","","","0.35848281908588","","4858880"
1966,"YR1966","Guinea","GIN","","","","","","","","","","","","","35.8816097560976","","","","","0.182040146841376","","3948206"
1966,"YR1966","Guinea-Bissau","GNB","","","","","","","","","","","","","39.9600243902439","","","","","0.099617112664259","","662597"
1966,"YR1966","Guyana","GUY","5.23327389449584","228705875.937914","345.303980387349","320","54.9897119341564","","","","","1.92134906049237","","60.1594650205761","61.347512195122","","","","21.6895644548378","1.78275245647198","","662332"
1966,"YR1966","Haiti","HTI","","","","","","","","","8.30183585332307","","","","45.4586097560976","","","","","0.0698479075759808","","4357482"
1966,"YR1966","Honduras","HND","5.37384227069566","549950000","227.23009428014","220","28.6207837076098","","","","1.78423465718763","2.60566547152332","","30.0754614055823","50.1476585365854","","","","39.5820895522388","0.333331405145122","","2420234"
1966,"YR1966","Hong Kong SAR, China","HKG","1.79449802645154","2489845016.64894","685.926614135084","","75.9067357512953","","","","","0.553485546724232","","79.4426550903235","69.9614878048781","","","","","1.42340092013554","","3629900"
1966,"YR1966","Hungary","HUN","","","","","","","","","","","","","69.8224390243902","","","","","6.06504072788413","","10178653"
1966,"YR1966","Iceland","ISL","8.73593347606992","628893310.399926","3215.69417804329","2980","32.84932030917","","","","10.7402031930334","10.4397722788774","","33.8619636780339","73.3004878048781","","","","","7.65013038809633","","195570"
